region,energy_type,material_sourcing,production_volume,product_type,transport_mode,distance_km,storage_type,shelf_days,carbon_footprint
urban,renewable,recycled,1458,perishable,air,3524,refrigerated,19,1.5667704
urban,renewable,recycled,2293,perishable,air,2043,refrigerated,14,0.6692868000000001
urban,renewable,local,1565,perishable,sea,4144,ambient,98,4.5484544
coastal,renewable,local,1904,non-perishable,air,4081,ambient,110,10.773840000000002
urban,renewable,local,1424,perishable,sea,304,refrigerated,23,0.10180352000000001
rural,renewable,local,4087,perishable,air,726,refrigerated,25,0.56628
coastal,renewable,recycled,2460,perishable,air,2584,refrigerated,21,1.2697776
rural,renewable,local,3282,perishable,air,3945,refrigerated,24,2.954016
urban,renewable,local,3469,non-perishable,sea,50,ambient,154,0.08624000000000001
rural,renewable,local,2857,perishable,sea,461,refrigerated,13,0.08725808
urban,renewable,recycled,3932,non-perishable,road,10,ambient,162,0.019440000000000002
urban,non-renewable,local,8945,non-perishable,road,2035,ambient,179,8.742360000000003
urban,renewable,imported,3730,perishable,air,2301,refrigerated,9,0.9691812
rural,renewable,imported,1550,perishable,air,1508,refrigerated,17,1.1997648
rural,renewable,local,3167,perishable,sea,2992,ambient,127,4.2558208
urban,renewable,imported,4854,perishable,sea,2054,refrigerated,9,0.40373423999999997
urban,renewable,local,949,perishable,sea,2390,refrigerated,18,0.6263712
rural,renewable,local,2323,non-perishable,road,1724,ambient,172,4.744448
coastal,renewable,imported,1870,non-perishable,road,2561,refrigerated,15,1.198548
rural,renewable,local,4902,non-perishable,road,619,ambient,128,1.2677120000000002
urban,renewable,recycled,1491,non-perishable,road,2210,ambient,91,2.4133199999999997
rural,renewable,local,4879,non-perishable,sea,4760,ambient,120,6.397439999999999
coastal,renewable,recycled,3205,non-perishable,road,2314,ambient,78,2.1659040000000003
rural,renewable,local,1916,perishable,sea,318,ambient,115,0.40958399999999995
coastal,renewable,local,3447,perishable,sea,1849,refrigerated,28,0.7538003200000001
urban,non-renewable,local,12762,perishable,air,357,refrigerated,27,0.4511052000000001
urban,renewable,imported,4979,non-perishable,air,4294,ambient,103,15.922151999999997
rural,renewable,local,3785,non-perishable,road,1508,ambient,87,2.099136
urban,renewable,imported,3489,non-perishable,sea,2431,refrigerated,28,1.48660512
coastal,renewable,local,2027,non-perishable,sea,2304,ambient,163,4.206182399999999
coastal,renewable,imported,1442,perishable,air,2169,ambient,105,8.19882
coastal,non-renewable,imported,14069,non-perishable,road,1013,refrigerated,27,1.2800268
urban,renewable,local,3518,non-perishable,road,730,refrigerated,9,0.136656
coastal,renewable,local,1918,non-perishable,air,3554,ambient,52,4.435392
coastal,renewable,local,4259,perishable,sea,761,refrigerated,12,0.13296191999999998
rural,renewable,local,2509,perishable,air,1249,ambient,107,3.2074320000000003
coastal,renewable,local,2031,non-perishable,air,4996,ambient,55,6.5947200000000015
urban,renewable,imported,2043,non-perishable,sea,1517,refrigerated,16,0.53010048
urban,renewable,local,818,non-perishable,air,3491,ambient,43,3.6027120000000004
urban,non-renewable,imported,10657,perishable,sea,1988,ambient,144,7.214054399999998
coastal,renewable,local,4299,non-perishable,air,4676,ambient,59,6.6212159999999995
urban,non-renewable,recycled,5413,perishable,air,1895,refrigerated,25,1.6628625
coastal,renewable,local,1219,perishable,air,4545,refrigerated,22,3.1196880000000005
rural,renewable,local,3141,non-perishable,road,1453,ambient,40,0.9299200000000001
rural,non-renewable,local,6759,non-perishable,road,1329,ambient,99,3.1577040000000003
rural,renewable,local,4469,non-perishable,air,4348,ambient,32,3.339264
rural,renewable,imported,1915,non-perishable,road,1073,ambient,53,1.3648559999999998
urban,renewable,recycled,2715,non-perishable,air,3523,refrigerated,18,1.4838876
rural,renewable,local,3144,non-perishable,road,1289,ambient,131,2.7017439999999997
coastal,non-renewable,imported,6542,perishable,air,3731,refrigerated,17,4.4525754
rural,renewable,imported,2395,non-perishable,road,1961,ambient,45,2.1178800000000004
coastal,non-renewable,local,6870,non-perishable,air,3303,refrigerated,26,4.019090400000001
urban,non-renewable,imported,8519,non-perishable,sea,3166,refrigerated,7,0.7260271199999999
coastal,renewable,imported,2979,non-perishable,air,4611,ambient,143,23.737427999999998
coastal,non-renewable,imported,7201,perishable,air,4710,refrigerated,5,1.65321
rural,renewable,recycled,1056,non-perishable,air,3420,refrigerated,6,0.48016800000000004
coastal,renewable,recycled,1303,perishable,air,2958,ambient,94,5.004936000000001
urban,renewable,local,1143,non-perishable,road,2422,ambient,32,1.240064
rural,renewable,local,4325,non-perishable,road,2956,ambient,175,8.276800000000001
urban,renewable,local,2084,perishable,air,3718,refrigerated,12,1.3920192000000002
coastal,renewable,imported,2800,non-perishable,air,4447,refrigerated,23,4.7867508
urban,renewable,local,4676,perishable,air,3231,refrigerated,24,2.4193728
urban,non-renewable,local,8906,perishable,air,4340,ambient,33,5.15592
coastal,renewable,local,2755,perishable,air,1717,refrigerated,14,0.7499856000000003
urban,non-renewable,local,8966,perishable,air,3145,ambient,129,14.605380000000002
coastal,renewable,recycled,1983,perishable,air,4528,refrigerated,23,2.4369696000000003
urban,renewable,local,2611,perishable,sea,2672,refrigerated,19,0.7391820800000001
coastal,renewable,local,597,perishable,air,1919,refrigerated,21,1.2573288000000002
urban,non-renewable,imported,6439,non-perishable,air,3990,ambient,170,36.6282
urban,renewable,local,4763,perishable,air,4694,ambient,118,13.293408000000001
coastal,renewable,imported,2598,non-perishable,road,1367,ambient,60,1.9684799999999998
coastal,non-renewable,imported,13763,non-perishable,road,335,ambient,36,0.43416
rural,renewable,local,2644,non-perishable,road,2123,refrigerated,6,0.26495040000000003
rural,renewable,imported,1125,perishable,sea,4206,refrigerated,24,2.2046169599999996
rural,renewable,local,745,perishable,sea,138,ambient,82,0.1267392
coastal,renewable,recycled,543,perishable,air,4947,ambient,68,6.055128000000001
coastal,non-renewable,imported,6899,non-perishable,road,1503,ambient,117,6.330635999999998
urban,renewable,recycled,1942,non-perishable,road,1660,ambient,66,1.3147199999999999
coastal,renewable,local,1358,perishable,air,930,ambient,104,2.3212800000000002
urban,renewable,recycled,2851,perishable,air,3044,refrigerated,18,1.2821328
rural,non-renewable,local,5208,non-perishable,road,2077,ambient,119,5.9319120000000005
coastal,renewable,local,4277,non-perishable,road,1136,ambient,30,0.54528
urban,renewable,imported,3686,perishable,air,2749,refrigerated,11,1.4151852
coastal,renewable,imported,807,non-perishable,air,3068,ambient,50,5.5224
rural,renewable,imported,2184,perishable,air,700,refrigerated,18,0.58968
rural,non-renewable,local,13067,perishable,sea,538,ambient,117,1.0574928000000001
rural,renewable,imported,3580,perishable,sea,2314,refrigerated,9,0.45483984
coastal,renewable,recycled,1996,non-perishable,air,3020,ambient,77,4.18572
urban,renewable,local,4475,non-perishable,air,3237,ambient,120,9.322560000000001
coastal,non-renewable,recycled,9316,perishable,air,115,refrigerated,5,0.020182500000000003
rural,renewable,local,2282,non-perishable,road,627,ambient,56,0.5617920000000001
urban,renewable,local,778,perishable,air,2500,refrigerated,26,2.0280000000000005
coastal,renewable,local,646,non-perishable,sea,3896,ambient,92,4.0144383999999995
coastal,non-renewable,local,5577,perishable,sea,4884,refrigerated,28,2.986663680000001
rural,renewable,local,4098,non-perishable,road,2312,ambient,104,3.847168
rural,renewable,local,1911,non-perishable,air,4385,refrigerated,16,2.1889920000000003
rural,renewable,local,1117,non-perishable,road,1655,ambient,125,3.31
coastal,non-renewable,imported,13091,perishable,sea,3865,refrigerated,26,3.2920523999999998
urban,non-renewable,imported,13236,non-perishable,air,4067,ambient,50,10.9809
rural,renewable,recycled,3490,non-perishable,air,3970,ambient,77,5.502420000000001
coastal,renewable,recycled,2802,non-perishable,road,1270,ambient,83,1.26492
coastal,renewable,imported,1762,perishable,air,665,refrigerated,13,0.404586
rural,renewable,local,3583,non-perishable,road,2901,ambient,113,5.245007999999999
rural,renewable,recycled,1448,non-perishable,sea,531,ambient,147,0.6556787999999999
coastal,renewable,recycled,3455,perishable,air,2926,ambient,36,1.896048
urban,renewable,local,1619,perishable,air,3445,refrigerated,9,0.9673560000000001
rural,renewable,local,1178,perishable,air,3698,refrigerated,24,2.7690624
rural,renewable,local,1861,perishable,air,848,refrigerated,8,0.2116608
coastal,renewable,local,1020,perishable,air,572,refrigerated,13,0.23200320000000002
urban,non-renewable,recycled,10210,perishable,air,588,refrigerated,28,0.5778864
rural,renewable,local,1624,non-perishable,sea,791,ambient,63,0.5581296
urban,renewable,local,854,perishable,sea,16,refrigerated,16,0.0037273599999999994
rural,renewable,local,1956,perishable,air,2996,ambient,66,4.7456640000000005
rural,renewable,recycled,813,non-perishable,road,1597,ambient,124,2.376336
urban,non-renewable,imported,5184,perishable,air,749,ambient,111,4.4895059999999996
coastal,renewable,local,4020,non-perishable,air,3374,refrigerated,24,2.5264512
coastal,renewable,imported,4927,non-perishable,air,3927,ambient,130,18.37836
urban,renewable,recycled,1168,perishable,air,1901,ambient,77,2.634786
coastal,renewable,local,3375,perishable,air,876,refrigerated,12,0.32797440000000005
coastal,renewable,recycled,3239,perishable,air,812,refrigerated,29,0.5510231999999999
coastal,renewable,imported,1456,non-perishable,sea,728,refrigerated,6,0.09539712
rural,renewable,local,1721,perishable,sea,2490,refrigerated,25,0.90636
coastal,non-renewable,imported,14627,non-perishable,road,468,refrigerated,20,0.438048
rural,renewable,recycled,3059,non-perishable,sea,2565,ambient,87,1.874502
coastal,renewable,local,1903,perishable,air,443,refrigerated,10,0.13821600000000003
rural,renewable,local,4817,non-perishable,air,3114,ambient,156,11.658816000000002
urban,renewable,local,575,perishable,air,872,ambient,148,3.097344
rural,renewable,recycled,781,non-perishable,road,1464,ambient,151,2.652768
urban,renewable,imported,3504,perishable,sea,2756,refrigerated,16,0.9630566399999998
coastal,renewable,local,4430,non-perishable,air,4124,ambient,147,14.549472000000002
rural,renewable,recycled,1090,perishable,air,1702,refrigerated,14,0.5575752
coastal,renewable,local,1965,perishable,air,516,refrigerated,10,0.16099200000000002
urban,renewable,imported,1685,non-perishable,road,2740,ambient,161,10.587360000000002
coastal,renewable,local,3151,non-perishable,road,519,ambient,142,1.179168
urban,non-renewable,imported,11147,non-perishable,road,2882,refrigerated,20,2.697552
rural,renewable,local,2114,perishable,air,4764,refrigerated,7,1.0404576000000003
urban,renewable,imported,2085,non-perishable,road,2855,refrigerated,8,0.712608
rural,non-renewable,imported,11988,perishable,sea,2018,ambient,116,5.899017599999998
rural,non-renewable,imported,9976,non-perishable,air,4172,ambient,46,10.363247999999999
rural,renewable,local,3422,perishable,air,2311,refrigerated,25,1.80258
rural,renewable,local,725,non-perishable,road,55,refrigerated,16,0.018304000000000004
rural,renewable,imported,3263,non-perishable,sea,4832,ambient,92,7.468339199999999
coastal,renewable,imported,3900,perishable,air,2501,refrigerated,29,3.394357199999999
rural,renewable,local,2135,perishable,air,3312,refrigerated,21,2.1700224
rural,non-renewable,imported,9243,non-perishable,road,832,refrigerated,20,0.7787519999999999
rural,renewable,recycled,3334,non-perishable,air,4213,ambient,111,8.417574
coastal,non-renewable,imported,5532,perishable,air,1534,refrigerated,19,2.0460492
coastal,non-renewable,local,5770,non-perishable,air,3154,ambient,90,10.218960000000003
rural,renewable,local,2938,non-perishable,sea,3741,ambient,87,3.6452304
urban,renewable,local,3916,perishable,sea,4804,refrigerated,10,0.6994624000000002
coastal,renewable,imported,1196,non-perishable,sea,343,ambient,54,0.3111696
urban,non-renewable,recycled,14272,perishable,air,2522,refrigerated,5,0.44261099999999987
urban,renewable,local,3415,non-perishable,road,229,ambient,35,0.12824000000000002
rural,renewable,local,3623,non-perishable,air,3844,ambient,110,10.14816
urban,renewable,recycled,3900,non-perishable,road,2584,ambient,144,4.465152
coastal,renewable,recycled,2100,non-perishable,air,3186,refrigerated,29,2.1620196
coastal,non-renewable,imported,12128,perishable,sea,2851,refrigerated,17,1.5877789199999999
urban,non-renewable,imported,5771,perishable,air,1970,ambient,120,12.7656
coastal,renewable,local,1744,perishable,sea,4391,refrigerated,19,1.2147262400000003
rural,renewable,recycled,3213,non-perishable,sea,2697,ambient,68,1.5405264000000003
rural,renewable,local,3782,perishable,air,4523,ambient,132,14.328864000000001
coastal,renewable,local,4730,non-perishable,road,643,refrigerated,23,0.30761120000000003
rural,renewable,imported,3607,non-perishable,air,3292,refrigerated,16,2.4650496
coastal,renewable,recycled,1336,non-perishable,road,1437,ambient,110,1.89684
urban,renewable,imported,1639,non-perishable,sea,640,refrigerated,17,0.2376192
rural,renewable,local,2526,perishable,sea,3366,refrigerated,5,0.24504480000000003
rural,renewable,imported,2987,non-perishable,air,3435,refrigerated,6,0.9645480000000001
coastal,renewable,imported,1012,non-perishable,road,673,ambient,83,1.3406159999999998
urban,renewable,imported,1060,perishable,sea,4125,refrigerated,29,2.61261
coastal,non-renewable,local,8461,perishable,air,4400,refrigerated,8,1.6473600000000006
coastal,renewable,imported,1625,perishable,air,2069,refrigerated,18,1.7429255999999997
urban,renewable,imported,3819,non-perishable,road,1943,ambient,155,7.2279599999999995
rural,renewable,recycled,3224,non-perishable,air,3823,ambient,121,8.326494
coastal,renewable,local,2228,non-perishable,road,1779,ambient,165,4.69656
coastal,non-renewable,imported,12935,perishable,air,154,refrigerated,10,0.10810799999999998
coastal,renewable,imported,3654,perishable,air,292,ambient,66,0.693792
urban,non-renewable,imported,10138,non-perishable,road,2676,ambient,61,5.8764959999999995
urban,non-renewable,local,14384,perishable,sea,2013,refrigerated,10,0.43963920000000006
urban,non-renewable,imported,13191,perishable,air,4115,ambient,32,7.110720000000001
rural,renewable,recycled,3621,non-perishable,air,4523,ambient,64,5.210495999999999
coastal,renewable,recycled,2057,perishable,sea,2246,refrigerated,25,0.6131579999999999
rural,renewable,imported,506,non-perishable,road,781,ambient,121,2.268024
rural,renewable,recycled,3883,non-perishable,road,2410,ambient,171,4.94532
coastal,non-renewable,recycled,7064,non-perishable,sea,85,ambient,62,0.06640199999999999
rural,renewable,local,4289,perishable,air,2006,ambient,161,7.751184
coastal,renewable,local,1614,non-perishable,sea,4198,ambient,160,7.522816000000001
rural,non-renewable,local,10581,non-perishable,air,3724,ambient,67,8.982288000000002
rural,renewable,local,4272,non-perishable,sea,2772,refrigerated,11,0.44396351999999994
rural,renewable,recycled,2029,non-perishable,road,1040,refrigerated,25,0.4056
rural,renewable,local,4174,perishable,air,4816,refrigerated,21,3.1554432
coastal,non-renewable,recycled,14191,non-perishable,air,4197,ambient,116,13.145003999999998
coastal,renewable,recycled,4984,non-perishable,road,2830,ambient,166,5.637359999999999
coastal,renewable,imported,2610,perishable,air,2597,refrigerated,27,3.2815692000000003
rural,renewable,recycled,2408,perishable,sea,4624,refrigerated,25,1.2623519999999997
urban,renewable,imported,1390,non-perishable,road,992,refrigerated,12,0.3714048
rural,renewable,local,1802,perishable,air,2824,refrigerated,23,2.0265024
urban,non-renewable,local,7666,non-perishable,road,1073,ambient,63,1.622376
coastal,renewable,recycled,4196,perishable,air,3723,refrigerated,11,0.9583001999999999
urban,renewable,imported,1900,perishable,sea,571,refrigerated,9,0.11223575999999998
urban,renewable,local,515,non-perishable,air,4439,refrigerated,17,2.3544456000000005
coastal,renewable,local,4050,perishable,sea,1120,refrigerated,26,0.4239872000000001
rural,non-renewable,recycled,14239,non-perishable,sea,3178,ambient,43,1.7218403999999998
coastal,renewable,local,1637,perishable,sea,1210,refrigerated,17,0.2994992
urban,non-renewable,imported,5974,perishable,sea,1758,refrigerated,21,1.2094336799999998
rural,renewable,local,1348,perishable,sea,4304,refrigerated,21,1.3159910400000001
urban,renewable,imported,2095,non-perishable,sea,4156,refrigerated,9,0.81690336
urban,renewable,local,3524,perishable,air,799,ambient,103,1.9751280000000002
rural,renewable,recycled,790,non-perishable,road,2063,ambient,69,1.7081639999999998
coastal,renewable,imported,1711,non-perishable,road,1738,ambient,166,6.924192
rural,non-renewable,imported,12048,non-perishable,sea,3145,refrigerated,26,2.6787851999999996
urban,renewable,local,4524,non-perishable,air,3662,ambient,145,12.74376
coastal,renewable,local,4075,non-perishable,air,4314,refrigerated,7,0.9421776000000002
coastal,renewable,local,3339,non-perishable,air,4271,ambient,146,14.965584000000002
coastal,renewable,local,4996,perishable,air,4488,ambient,75,8.078400000000002
coastal,renewable,recycled,2272,non-perishable,sea,2749,ambient,75,1.7318699999999998
rural,renewable,imported,1874,non-perishable,road,517,ambient,148,1.8363839999999998
urban,non-renewable,recycled,12870,non-perishable,air,3144,refrigerated,15,1.6553159999999998
urban,non-renewable,local,9221,perishable,sea,922,refrigerated,14,0.28191072000000006
urban,renewable,recycled,3620,perishable,air,2657,refrigerated,6,0.3730428
rural,renewable,recycled,3186,non-perishable,air,3898,refrigerated,18,1.6418376000000001
urban,renewable,local,4011,non-perishable,road,863,ambient,66,0.911328
coastal,renewable,local,1384,non-perishable,sea,3883,ambient,173,7.523700799999999
urban,non-renewable,local,6778,perishable,air,2850,refrigerated,12,1.6005600000000002
urban,non-renewable,imported,13078,perishable,air,3683,ambient,111,22.075902
coastal,renewable,imported,3854,perishable,air,4745,refrigerated,8,1.776528
urban,renewable,local,1371,non-perishable,road,1210,ambient,50,0.968
urban,non-renewable,local,13196,perishable,sea,1652,refrigerated,20,0.7215936000000001
coastal,renewable,imported,1446,non-perishable,road,294,ambient,162,1.1430719999999999
urban,non-renewable,imported,13029,non-perishable,road,959,ambient,133,4.591691999999999
urban,non-renewable,local,10190,non-perishable,sea,1381,ambient,163,3.7817304000000003
rural,renewable,recycled,1448,non-perishable,road,585,ambient,90,0.6318
urban,non-renewable,imported,5732,perishable,sea,3301,refrigerated,12,1.29768912
urban,renewable,imported,3034,perishable,air,1382,ambient,68,3.3831359999999995
coastal,non-renewable,imported,10293,perishable,air,1069,refrigerated,22,1.6509635999999996
rural,renewable,recycled,3048,non-perishable,air,4378,ambient,79,6.225516
urban,renewable,local,3588,perishable,air,3502,refrigerated,20,2.185248
urban,non-renewable,imported,11832,perishable,air,1570,refrigerated,28,3.0859919999999996
rural,renewable,local,4763,non-perishable,air,3123,ambient,49,3.672648
urban,renewable,local,578,non-perishable,road,96,ambient,61,0.093696
coastal,renewable,local,3395,non-perishable,road,2804,ambient,43,1.9291519999999998
coastal,renewable,local,2025,perishable,air,2650,refrigerated,26,2.14968
urban,non-renewable,imported,8073,perishable,air,2144,refrigerated,14,2.1071232
rural,renewable,imported,1920,perishable,air,2990,refrigerated,23,3.218436
urban,non-renewable,imported,13890,non-perishable,sea,2962,refrigerated,25,2.425878
coastal,renewable,local,3190,perishable,air,3818,refrigerated,19,2.2633104
coastal,renewable,recycled,1815,non-perishable,road,219,refrigerated,27,0.0922428
rural,non-renewable,imported,13925,perishable,air,4694,refrigerated,27,8.897007600000002
rural,renewable,imported,3738,non-perishable,sea,786,ambient,79,1.0431792
urban,renewable,local,2722,non-perishable,air,3268,refrigerated,17,1.7333471999999999
rural,renewable,local,602,perishable,air,4915,refrigerated,6,0.920088
rural,renewable,recycled,3845,perishable,air,3072,refrigerated,22,1.5814656
coastal,renewable,imported,3159,non-perishable,air,3781,refrigerated,5,0.884754
coastal,non-renewable,recycled,13137,non-perishable,sea,2193,refrigerated,14,0.50289876
urban,renewable,imported,2187,perishable,sea,2823,refrigerated,19,1.17143208
rural,renewable,local,3515,perishable,air,3020,refrigerated,10,0.9422400000000002
coastal,renewable,recycled,1324,non-perishable,sea,3984,ambient,54,1.8071424
rural,non-renewable,recycled,7885,perishable,air,3551,refrigerated,16,1.9942416
coastal,renewable,recycled,1007,perishable,air,89,refrigerated,18,0.037486799999999994
urban,renewable,local,1399,non-perishable,air,4304,ambient,104,10.742784000000002
coastal,renewable,local,3089,perishable,air,3863,refrigerated,23,2.7720888000000006
coastal,renewable,imported,4890,non-perishable,road,121,refrigerated,18,0.0679536
rural,non-renewable,imported,7848,non-perishable,air,3413,refrigerated,19,4.5522594
urban,non-renewable,imported,12251,perishable,air,4504,refrigerated,13,4.1103504
coastal,renewable,imported,4257,non-perishable,road,1529,refrigerated,28,1.3357344
urban,non-renewable,imported,11686,perishable,air,3796,refrigerated,18,4.796625599999999
coastal,non-renewable,local,11944,non-perishable,air,4165,refrigerated,29,5.652738000000001
rural,non-renewable,imported,5942,non-perishable,road,779,refrigerated,12,0.43748639999999994
urban,renewable,local,2301,perishable,sea,3772,refrigerated,6,0.3295219199999999
urban,non-renewable,recycled,9969,perishable,sea,749,refrigerated,24,0.2944468799999999
coastal,renewable,local,4066,non-perishable,air,4785,ambient,92,10.565280000000001
coastal,renewable,recycled,3566,non-perishable,air,3698,refrigerated,16,1.3845311999999999
urban,renewable,recycled,1074,perishable,air,2935,refrigerated,17,1.167543
coastal,renewable,local,3457,perishable,air,4038,refrigerated,14,1.7637984000000004
rural,renewable,imported,2623,perishable,air,3553,refrigerated,10,1.662804
rural,non-renewable,local,9757,non-perishable,road,1809,ambient,170,7.380720000000001
rural,non-renewable,imported,10238,perishable,sea,1552,refrigerated,13,0.66096576
coastal,renewable,local,4109,perishable,sea,1212,ambient,86,1.1673984
rural,renewable,recycled,636,non-perishable,air,3912,ambient,63,4.436208
coastal,non-renewable,local,5895,perishable,air,3096,ambient,144,16.049664000000003
rural,renewable,recycled,2213,non-perishable,air,3666,ambient,76,5.0150879999999995
coastal,non-renewable,recycled,9581,perishable,air,4714,refrigerated,6,0.9927684000000002
coastal,non-renewable,local,13945,perishable,sea,2466,ambient,163,6.752894400000001
urban,non-renewable,imported,8707,perishable,sea,1666,refrigerated,13,0.7095160799999998
rural,non-renewable,recycled,14144,non-perishable,air,3089,ambient,69,5.754806999999999
rural,non-renewable,recycled,11850,perishable,air,2121,ambient,87,4.982228999999999
rural,renewable,local,4992,non-perishable,air,4017,refrigerated,12,1.5039648000000003
coastal,renewable,local,2257,non-perishable,sea,1826,refrigerated,11,0.29245215999999996
rural,renewable,local,2424,perishable,air,775,refrigerated,27,0.6528600000000002
urban,renewable,recycled,1945,non-perishable,road,1655,ambient,120,2.3832
rural,non-renewable,local,8215,non-perishable,sea,2112,ambient,156,5.535129600000001
coastal,renewable,local,4115,non-perishable,air,3980,ambient,147,14.04144
urban,non-renewable,imported,6114,non-perishable,road,1986,ambient,162,11.582352
rural,renewable,imported,2533,non-perishable,air,3587,ambient,46,5.940072
coastal,renewable,local,2826,non-perishable,road,279,refrigerated,22,0.12767040000000004
coastal,renewable,local,2168,non-perishable,road,2100,refrigerated,22,0.96096
urban,renewable,local,2932,non-perishable,road,2276,ambient,118,4.297088
urban,renewable,recycled,3414,non-perishable,road,1875,refrigerated,25,0.7312500000000001
rural,renewable,local,1562,perishable,sea,2970,refrigerated,16,0.6918912000000002
coastal,renewable,imported,2799,non-perishable,sea,1143,ambient,94,1.8050255999999996
coastal,non-renewable,recycled,13899,perishable,air,79,refrigerated,9,0.0249561
urban,renewable,recycled,3659,perishable,air,4343,refrigerated,19,1.9308977999999997
rural,renewable,imported,2391,non-perishable,air,4730,ambient,135,22.9878
urban,non-renewable,imported,6341,perishable,air,4818,refrigerated,23,7.7791428
urban,renewable,imported,624,perishable,air,3303,ambient,152,18.074015999999997
rural,non-renewable,recycled,11177,non-perishable,road,646,ambient,113,1.3139639999999997
urban,non-renewable,local,6635,non-perishable,air,3420,ambient,103,12.681360000000002
coastal,renewable,recycled,882,non-perishable,air,4788,ambient,42,3.6197280000000003
coastal,renewable,imported,4928,perishable,air,3181,refrigerated,8,1.1909664
coastal,non-renewable,local,12726,perishable,sea,378,refrigerated,6,0.04953312
coastal,renewable,local,1607,perishable,air,4353,refrigerated,26,3.5311536000000006
urban,renewable,local,2358,perishable,air,2363,refrigerated,21,1.5482376000000002
coastal,renewable,local,1008,non-perishable,road,2047,ambient,88,2.8821760000000003
coastal,non-renewable,imported,13940,perishable,air,3514,refrigerated,16,3.9469247999999992
urban,non-renewable,imported,12598,non-perishable,road,2789,refrigerated,7,0.9136764000000002
coastal,renewable,recycled,2846,perishable,air,1970,refrigerated,26,1.198548
coastal,non-renewable,imported,11505,non-perishable,road,992,refrigerated,11,0.5106816
urban,non-renewable,recycled,7064,non-perishable,road,293,ambient,37,0.19513799999999995
rural,non-renewable,imported,5505,perishable,air,4330,refrigerated,8,2.431728
urban,non-renewable,imported,8618,non-perishable,road,1392,refrigerated,11,0.7166015999999998
coastal,renewable,recycled,3808,non-perishable,sea,44,ambient,37,0.013675199999999997
coastal,non-renewable,imported,12317,perishable,air,1634,refrigerated,14,1.6058952000000002
urban,non-renewable,imported,7446,non-perishable,air,4629,ambient,162,40.494491999999994
coastal,renewable,local,4335,perishable,sea,1124,refrigerated,12,0.19638528
urban,non-renewable,imported,8718,non-perishable,road,1883,refrigerated,27,2.3793588000000003
coastal,non-renewable,imported,12799,perishable,air,1525,refrigerated,22,2.3552099999999996
urban,non-renewable,imported,10846,perishable,air,3780,refrigerated,20,5.30712
rural,renewable,imported,984,non-perishable,sea,3459,ambient,109,6.3341208
coastal,renewable,recycled,1687,non-perishable,sea,1365,ambient,107,1.226862
coastal,non-renewable,imported,7453,non-perishable,road,2615,ambient,96,9.03744
rural,renewable,imported,4381,perishable,air,220,refrigerated,5,0.051480000000000005
coastal,renewable,imported,3853,non-perishable,air,3864,refrigerated,22,3.9783744
coastal,renewable,local,3541,perishable,air,1201,refrigerated,10,0.3747120000000001
urban,non-renewable,imported,10278,non-perishable,road,1152,ambient,58,2.405375999999999
coastal,renewable,recycled,4491,perishable,air,4772,refrigerated,28,3.1266144000000007
rural,renewable,local,998,non-perishable,air,3805,ambient,100,9.132000000000001
rural,renewable,local,1972,non-perishable,road,2002,ambient,97,3.1071039999999996
urban,renewable,local,4946,non-perishable,sea,3039,ambient,129,4.390747200000001
rural,renewable,local,1693,non-perishable,sea,3799,ambient,121,5.1484048
urban,non-renewable,local,7239,perishable,air,1655,ambient,177,10.545660000000002
rural,renewable,local,2754,perishable,air,4222,refrigerated,11,1.4489904000000002
rural,non-renewable,recycled,14625,perishable,sea,14,refrigerated,17,0.003898439999999999
coastal,non-renewable,imported,12290,non-perishable,air,4215,ambient,98,22.305779999999995
rural,renewable,recycled,3086,perishable,air,2755,refrigerated,29,1.8695429999999997
coastal,renewable,local,3012,perishable,sea,4140,refrigerated,10,0.602784
urban,renewable,local,4103,perishable,air,3131,refrigerated,9,0.8791848
coastal,renewable,recycled,3030,non-perishable,air,4264,ambient,34,2.6095680000000003
urban,non-renewable,local,11589,non-perishable,air,3573,ambient,136,17.493408000000002
coastal,non-renewable,imported,7310,non-perishable,sea,4470,ambient,67,7.547147999999999
rural,renewable,local,896,non-perishable,road,412,refrigerated,9,0.0771264
rural,renewable,recycled,3863,non-perishable,road,87,ambient,120,0.12527999999999997
urban,renewable,local,1401,non-perishable,air,4138,refrigerated,16,2.0656896000000002
urban,renewable,local,3625,non-perishable,road,513,ambient,108,0.8864640000000001
rural,renewable,recycled,3992,non-perishable,sea,3815,ambient,42,1.3459319999999997
coastal,renewable,imported,3237,non-perishable,road,2220,ambient,152,8.09856
rural,non-renewable,recycled,11441,perishable,air,2567,refrigerated,10,0.901017
urban,renewable,recycled,2514,perishable,air,1385,refrigerated,20,0.64818
urban,non-renewable,imported,6798,perishable,air,3473,ambient,157,29.444093999999996
rural,renewable,imported,4879,non-perishable,road,1493,refrigerated,22,1.0247952
rural,renewable,recycled,1252,non-perishable,road,2935,ambient,31,1.09182
urban,renewable,local,3992,perishable,sea,2605,refrigerated,9,0.3413592
coastal,renewable,local,987,non-perishable,air,4905,ambient,42,4.944240000000001
rural,renewable,imported,554,non-perishable,sea,3026,ambient,89,4.5244751999999995
urban,renewable,recycled,3996,non-perishable,air,3735,refrigerated,5,0.43699499999999997
rural,non-renewable,local,13913,non-perishable,air,4904,ambient,149,26.305056000000004
rural,renewable,recycled,4304,perishable,sea,2721,refrigerated,23,0.68340636
